epoch,train_loss,val_loss,pixel_acc,miou,lr
1,0.936643,0.604069,0.842271,0.406701,0.00010000
2,0.519753,0.412328,0.879663,0.478428,0.00009990
3,0.399658,0.324586,0.899048,0.547658,0.00009961
4,0.333723,0.348900,0.891872,0.549036,0.00009912
5,0.293262,0.313037,0.897894,0.547453,0.00009844
6,0.257505,0.290009,0.910456,0.591648,0.00009758
7,0.237733,0.257437,0.914568,0.608723,0.00009652
8,0.230040,0.281896,0.914240,0.630340,0.00009529
9,0.207072,0.268492,0.921084,0.664166,0.00009388
10,0.194275,0.246311,0.926460,0.670026,0.00009229
11,0.180733,0.254274,0.925067,0.668845,0.00009055
12,0.175178,0.267886,0.924177,0.684282,0.00008864
13,0.185496,0.275667,0.920631,0.661510,0.00008658
14,0.166037,0.258907,0.927619,0.678667,0.00008439
15,0.160422,0.244497,0.928297,0.691503,0.00008205
16,0.155671,0.269650,0.924848,0.686019,0.00007960
17,0.152425,0.279505,0.924456,0.677375,0.00007702
18,0.145171,0.247070,0.929318,0.682699,0.00007435
19,0.141861,0.271544,0.923835,0.683375,0.00007158
20,0.136762,0.257682,0.929965,0.693983,0.00006872
21,0.134806,0.259972,0.928274,0.693087,0.00006580
22,0.131068,0.285117,0.926688,0.685333,0.00006281
23,0.128279,0.275295,0.928171,0.693990,0.00005978
24,0.126210,0.259085,0.930450,0.700490,0.00005670
25,0.123230,0.268530,0.930794,0.700982,0.00005361
26,0.121377,0.263612,0.930745,0.699191,0.00005050
27,0.119329,0.268151,0.931315,0.702434,0.00004739
28,0.119167,0.283389,0.926314,0.689577,0.00004430
29,0.115660,0.262416,0.932378,0.702878,0.00004122
30,0.113859,0.270030,0.931630,0.701175,0.00003819
31,0.111856,0.269134,0.931719,0.705854,0.00003520
32,0.110623,0.274119,0.931480,0.703169,0.00003228
33,0.109241,0.281986,0.930634,0.697192,0.00002942
34,0.108514,0.269574,0.932523,0.707596,0.00002665
35,0.106210,0.283422,0.930419,0.702596,0.00002398
36,0.105382,0.282014,0.930573,0.702889,0.00002140
37,0.104818,0.276979,0.932541,0.704572,0.00001895
38,0.103806,0.286146,0.931838,0.706890,0.00001661
39,0.103274,0.280844,0.932296,0.706117,0.00001442
40,0.102206,0.280613,0.931994,0.708050,0.00001236
41,0.101345,0.287218,0.931967,0.704845,0.00001045
42,0.099878,0.287043,0.931919,0.708121,0.00000871
43,0.100370,0.288565,0.931715,0.706687,0.00000712
44,0.100092,0.287499,0.931510,0.703910,0.00000571
45,0.099340,0.293055,0.931843,0.706194,0.00000448
46,0.099264,0.283725,0.932240,0.706963,0.00000342
47,0.098890,0.291737,0.931540,0.704537,0.00000256
48,0.098699,0.287365,0.931663,0.704105,0.00000188
49,0.099204,0.285345,0.932426,0.707664,0.00000139
50,0.097524,0.291627,0.932004,0.705891,0.00000110
