epoch,train_loss,val_loss,pixel_acc,miou,lr
1,0.896628,0.507801,0.868026,0.445995,0.00001000
2,0.518256,0.411124,0.882128,0.523318,0.00000999
3,0.435250,0.339589,0.899310,0.572059,0.00000996
4,0.378191,0.316997,0.901170,0.580115,0.00000992
5,0.347702,0.296467,0.908131,0.606125,0.00000986
6,0.324785,0.283444,0.909860,0.616028,0.00000978
7,0.302126,0.286605,0.909806,0.616476,0.00000968
8,0.289752,0.264527,0.915385,0.626420,0.00000957
9,0.270901,0.275799,0.910488,0.626627,0.00000944
10,0.263772,0.264528,0.913306,0.626937,0.00000930
11,0.254004,0.250614,0.916924,0.632973,0.00000914
12,0.245638,0.239891,0.920627,0.640239,0.00000897
13,0.238967,0.237937,0.920572,0.649946,0.00000878
14,0.235723,0.230621,0.921955,0.665257,0.00000858
15,0.229498,0.252091,0.917220,0.647121,0.00000837
16,0.224435,0.248499,0.918930,0.651859,0.00000815
17,0.221684,0.236508,0.922355,0.659241,0.00000791
18,0.216534,0.226060,0.924673,0.668455,0.00000767
19,0.214509,0.236815,0.920722,0.664050,0.00000742
20,0.211535,0.215709,0.927718,0.666434,0.00000716
21,0.209259,0.226168,0.924783,0.660980,0.00000689
22,0.207021,0.223097,0.925637,0.670986,0.00000662
23,0.203698,0.221261,0.926265,0.674127,0.00000634
24,0.197421,0.217796,0.927261,0.666048,0.00000606
25,0.198815,0.221461,0.925831,0.672004,0.00000578
26,0.195877,0.222076,0.925566,0.673606,0.00000550
27,0.192892,0.218389,0.927505,0.674255,0.00000522
28,0.190160,0.221503,0.926252,0.675020,0.00000494
29,0.190189,0.216955,0.927523,0.676130,0.00000466
30,0.188524,0.216360,0.928417,0.678852,0.00000438
31,0.185947,0.207664,0.930832,0.687870,0.00000411
32,0.187138,0.211518,0.929645,0.686331,0.00000384
33,0.184920,0.206880,0.931582,0.687851,0.00000358
34,0.181667,0.211937,0.929987,0.683974,0.00000333
35,0.184750,0.210828,0.929821,0.682229,0.00000309
36,0.181278,0.201861,0.933063,0.691668,0.00000285
37,0.181629,0.213186,0.929382,0.683065,0.00000263
38,0.180151,0.204830,0.931953,0.690785,0.00000242
39,0.181114,0.208548,0.931206,0.686606,0.00000222
40,0.178391,0.210010,0.930756,0.684713,0.00000203
41,0.180618,0.211285,0.930169,0.685540,0.00000186
42,0.178967,0.210060,0.930825,0.685444,0.00000170
43,0.176060,0.208765,0.931455,0.691537,0.00000156
44,0.176072,0.212098,0.930069,0.685106,0.00000143
45,0.176405,0.206812,0.932012,0.689377,0.00000132
46,0.175721,0.205858,0.932114,0.688966,0.00000122
47,0.174006,0.210820,0.930794,0.687703,0.00000114
48,0.176026,0.213347,0.930161,0.686287,0.00000108
49,0.176330,0.210896,0.930643,0.686428,0.00000104
50,0.175135,0.208110,0.931567,0.688154,0.00000101
