epoch,train_loss,val_loss,pixel_acc,miou,lr
1,1.699939,1.365112,0.740869,0.250358,0.00010000
2,1.359244,1.206618,0.770545,0.299293,0.00010000
3,1.166624,1.048515,0.797976,0.322477,0.00010000
4,1.020867,0.875568,0.821324,0.331125,0.00010000
5,0.919550,0.813395,0.824869,0.333000,0.00010000
6,0.824215,0.732537,0.832511,0.348409,0.00010000
7,0.754178,0.683426,0.838464,0.356004,0.00010000
8,0.699117,0.704158,0.831735,0.360582,0.00010000
9,0.672949,0.600706,0.850994,0.371322,0.00010000
10,0.622860,0.570429,0.854647,0.377346,0.00010000
11,0.615505,0.578626,0.846931,0.379712,0.00010000
12,0.568937,0.540463,0.863255,0.394590,0.00010000
13,0.544854,0.559888,0.850277,0.370042,0.00010000
14,0.531690,0.514624,0.863387,0.394680,0.00010000
15,0.504231,0.478821,0.870763,0.406463,0.00010000
16,0.488793,0.539838,0.841054,0.391945,0.00010000
17,0.475844,0.451821,0.875003,0.412451,0.00010000
18,0.460551,0.452905,0.875294,0.420048,0.00010000
19,0.445766,0.475549,0.862186,0.394719,0.00010000
20,0.444227,0.419565,0.878979,0.426415,0.00010000
21,0.423116,0.452059,0.866787,0.419643,0.00010000
22,0.402082,0.461336,0.866231,0.414852,0.00010000
23,0.397495,0.398513,0.880791,0.437118,0.00010000
24,0.404222,0.405997,0.880574,0.426649,0.00010000
25,0.383996,0.414209,0.872563,0.427974,0.00010000
26,0.383720,0.408433,0.876025,0.434279,0.00010000
27,0.360131,0.391366,0.883255,0.455216,0.00010000
28,0.347222,0.360629,0.891774,0.477083,0.00010000
29,0.343993,0.410322,0.875879,0.470615,0.00010000
30,0.347373,0.894957,0.766268,0.387090,0.00010000
31,0.361428,0.379254,0.885889,0.491545,0.00010000
32,0.333474,0.371450,0.886241,0.493275,0.00010000
33,0.320277,0.386326,0.880966,0.478767,0.00010000
34,0.306517,0.324702,0.901148,0.526066,0.00010000
35,0.323857,0.357930,0.889401,0.501924,0.00010000
36,0.290144,0.396873,0.868499,0.509055,0.00010000
37,0.285993,0.311315,0.903960,0.562875,0.00010000
38,0.280018,0.309527,0.902692,0.548552,0.00010000
39,0.279296,0.298242,0.905780,0.558715,0.00010000
40,0.278276,0.338461,0.892470,0.544678,0.00010000
41,0.298396,0.326149,0.895169,0.536848,0.00010000
42,0.266336,0.308896,0.901636,0.559635,0.00010000
43,0.269275,0.300775,0.905446,0.577192,0.00010000
44,0.252625,0.327756,0.893646,0.555661,0.00010000
45,0.252209,0.297792,0.905175,0.570513,0.00010000
46,0.255337,0.279985,0.910372,0.592059,0.00010000
47,0.239510,0.278618,0.912264,0.579444,0.00010000
48,0.238331,0.277960,0.911968,0.585860,0.00010000
49,0.248249,0.293039,0.904952,0.573749,0.00010000
50,0.235686,0.310334,0.900347,0.579914,0.00010000
