epoch,train_loss,val_loss,pixel_acc,miou,lr
1,1.681541,1.489985,0.706960,0.239347,0.00010000
2,1.326168,1.133145,0.788956,0.299401,0.00010000
3,1.132016,1.043066,0.785742,0.305620,0.00010000
4,0.989408,0.904167,0.798732,0.327864,0.00010000
5,0.879659,0.756119,0.834923,0.349613,0.00010000
6,0.797054,0.710983,0.839412,0.356376,0.00010000
7,0.734281,0.947276,0.745342,0.308822,0.00010000
8,0.676134,0.640850,0.847915,0.373098,0.00010000
9,0.638449,0.681725,0.828229,0.350400,0.00010000
10,0.601592,0.544764,0.867574,0.400215,0.00010000
11,0.565594,0.548174,0.864046,0.401311,0.00010000
12,0.545193,0.509421,0.865633,0.399132,0.00010000
13,0.518503,0.522763,0.858989,0.391184,0.00010000
14,0.501522,0.485233,0.871843,0.407240,0.00010000
15,0.467286,0.477547,0.865554,0.403104,0.00010000
16,0.451838,0.449723,0.873931,0.414005,0.00010000
17,0.447769,0.452770,0.871320,0.421077,0.00010000
18,0.428108,0.464109,0.867380,0.414188,0.00010000
19,0.410657,0.421819,0.876628,0.434529,0.00010000
20,0.400835,0.454449,0.867053,0.434383,0.00010000
21,0.391723,0.400033,0.884240,0.462783,0.00010000
22,0.367165,0.414846,0.877925,0.461308,0.00010000
23,0.362559,0.380904,0.887136,0.472941,0.00010000
24,0.366615,0.429685,0.868868,0.456264,0.00010000
25,0.362229,0.411161,0.875673,0.464614,0.00010000
26,0.340807,0.364782,0.888846,0.497697,0.00010000
27,0.328784,0.363861,0.889489,0.485170,0.00010000
28,0.314742,0.367791,0.887590,0.506859,0.00010000
29,0.307323,0.329195,0.898544,0.524813,0.00010000
30,0.302804,0.359100,0.891784,0.504100,0.00010000
31,0.285838,0.350622,0.891651,0.505915,0.00010000
32,0.290775,0.311658,0.903865,0.533114,0.00010000
33,0.290638,0.357995,0.887953,0.506921,0.00010000
34,0.295088,0.314087,0.902158,0.537041,0.00010000
35,0.275648,0.319461,0.900040,0.538583,0.00010000
36,0.258589,0.314199,0.902781,0.550415,0.00010000
37,0.256926,0.320783,0.898402,0.554804,0.00010000
38,0.259006,0.312297,0.899981,0.553731,0.00010000
39,0.246026,0.282843,0.910588,0.586739,0.00010000
40,0.244486,0.351136,0.886563,0.536045,0.00010000
41,0.270167,0.304518,0.904197,0.561491,0.00010000
42,0.235439,0.294691,0.906810,0.577878,0.00010000
43,0.230689,0.275647,0.912040,0.590713,0.00010000
44,0.226833,0.367173,0.881910,0.547959,0.00010000
45,0.226797,0.275763,0.910644,0.601031,0.00010000
46,0.225260,0.303914,0.901812,0.594243,0.00010000
47,0.216991,0.278370,0.910635,0.605619,0.00010000
48,0.219909,0.299159,0.903023,0.589416,0.00010000
49,0.216389,0.285993,0.907823,0.601843,0.00010000
50,0.203205,0.264126,0.914415,0.618751,0.00010000
