epoch,train_loss,val_loss,pixel_acc,miou,lr
1,2.012971,1.802176,0.651088,0.277619,0.00010000
2,1.751092,1.613064,0.679505,0.315622,0.00010000
3,1.566194,1.479632,0.758104,0.372879,0.00010000
4,1.445427,1.320378,0.718084,0.358309,0.00010000
5,1.343206,1.297145,0.719127,0.363112,0.00010000
6,1.253336,1.300442,0.751296,0.382929,0.00010000
7,1.179761,1.194424,0.757479,0.409627,0.00010000
8,1.100785,1.065851,0.752888,0.414046,0.00010000
9,1.032625,1.248286,0.723551,0.384580,0.00010000
10,0.978732,1.015945,0.799598,0.445240,0.00010000
11,0.945672,0.939685,0.794434,0.449572,0.00010000
12,0.895172,0.843220,0.806618,0.471009,0.00010000
13,0.853103,0.791091,0.821395,0.492319,0.00010000
14,0.809389,0.827461,0.836392,0.511151,0.00010000
15,0.809637,1.248447,0.753526,0.430508,0.00010000
16,0.742680,0.820359,0.810165,0.488420,0.00010000
17,0.720023,0.778342,0.841288,0.514264,0.00010000
18,0.695693,0.786640,0.832641,0.499196,0.00010000
19,0.696583,0.757262,0.839126,0.517161,0.00010000
20,0.641413,0.692243,0.844281,0.535499,0.00010000
21,0.629540,0.784740,0.790840,0.487075,0.00010000
22,0.605154,0.684583,0.837894,0.521723,0.00010000
23,0.573030,0.616547,0.849224,0.542435,0.00010000
24,0.593182,0.667479,0.845249,0.532670,0.00010000
25,0.553075,0.746696,0.833792,0.514945,0.00010000
26,0.536858,0.694866,0.864520,0.550635,0.00010000
27,0.535941,0.652972,0.864747,0.562824,0.00010000
28,0.503446,0.627395,0.848567,0.541403,0.00010000
29,0.474536,0.632718,0.866991,0.570125,0.00010000
30,0.498731,0.588194,0.849116,0.550420,0.00010000
31,0.482365,0.630474,0.839795,0.520561,0.00010000
32,0.466681,0.619832,0.853973,0.537094,0.00010000
33,0.454959,0.610286,0.872819,0.578649,0.00010000
34,0.459393,0.597471,0.852233,0.556664,0.00010000
35,0.410146,0.577408,0.877885,0.586985,0.00010000
36,0.411934,0.582912,0.876300,0.599965,0.00010000
37,0.420760,0.572505,0.869365,0.581126,0.00010000
38,0.411306,0.605050,0.872134,0.589048,0.00010000
39,0.395577,0.536247,0.876279,0.588846,0.00010000
40,0.408479,0.648240,0.843317,0.543389,0.00010000
41,0.378688,0.532598,0.873858,0.584157,0.00010000
42,0.401496,0.684057,0.854862,0.549257,0.00010000
43,0.403497,0.554311,0.877392,0.589220,0.00010000
44,0.360616,0.574015,0.852854,0.555050,0.00010000
45,0.380252,0.695979,0.864425,0.551900,0.00010000
46,0.358602,0.520052,0.882494,0.606080,0.00010000
47,0.335447,0.530812,0.879554,0.590910,0.00010000
48,0.333329,0.545076,0.877469,0.599107,0.00010000
49,0.332940,0.562260,0.880260,0.608031,0.00010000
50,0.313039,0.545009,0.891789,0.614213,0.00010000
