epoch,train_loss,val_loss,pixel_acc,miou,lr
1,1.751598,1.509493,0.701605,0.234124,0.00010000
2,1.381339,1.189958,0.781690,0.290886,0.00010000
3,1.196661,1.102704,0.759073,0.271876,0.00010000
4,1.039505,0.925925,0.793756,0.300010,0.00010000
5,0.935369,0.878524,0.786257,0.297865,0.00010000
6,0.851249,0.802360,0.816551,0.343579,0.00010000
7,0.782381,0.709131,0.839816,0.360372,0.00010000
8,0.717879,0.652422,0.835103,0.362852,0.00010000
9,0.680702,0.640572,0.839802,0.363772,0.00010000
10,0.650574,0.640783,0.831389,0.356463,0.00010000
11,0.602561,0.566210,0.853810,0.387606,0.00010000
12,0.583437,0.567721,0.846483,0.381595,0.00010000
13,0.548353,0.521887,0.857969,0.394045,0.00010000
14,0.527037,0.499762,0.861270,0.398051,0.00010000
15,0.517376,0.477739,0.867424,0.408614,0.00010000
16,0.498429,0.750542,0.778793,0.343453,0.00010000
17,0.496088,0.464554,0.869575,0.415455,0.00010000
18,0.463964,0.444879,0.872281,0.421329,0.00010000
19,0.458334,0.505862,0.851205,0.407517,0.00010000
20,0.439420,0.425644,0.878483,0.445139,0.00010000
21,0.422321,0.425697,0.873390,0.449287,0.00010000
22,0.416552,0.410670,0.881138,0.453314,0.00010000
23,0.398278,0.421707,0.878515,0.454510,0.00010000
24,0.411250,0.486455,0.857035,0.429664,0.00010000
25,0.395214,0.389441,0.883642,0.468078,0.00010000
26,0.361902,0.405514,0.875803,0.458459,0.00010000
27,0.363792,0.388353,0.883168,0.478119,0.00010000
28,0.374826,0.371810,0.887210,0.476824,0.00010000
29,0.359031,0.541811,0.819243,0.423665,0.00010000
30,0.352335,0.352482,0.893562,0.492924,0.00010000
31,0.348896,0.395211,0.877488,0.467131,0.00010000
32,0.349329,0.353103,0.891568,0.498611,0.00010000
33,0.322653,0.349414,0.892970,0.506356,0.00010000
34,0.311804,0.356735,0.890997,0.510110,0.00010000
35,0.305994,0.323536,0.899490,0.524854,0.00010000
36,0.297497,0.317836,0.900361,0.546449,0.00010000
37,0.317390,0.327330,0.897975,0.530620,0.00010000
38,0.288153,0.328868,0.895301,0.538813,0.00010000
39,0.282500,0.320812,0.897570,0.544892,0.00010000
40,0.287454,0.324664,0.897498,0.542845,0.00010000
41,0.273468,0.307073,0.902315,0.555869,0.00010000
42,0.268852,0.317027,0.900779,0.557354,0.00010000
43,0.279229,0.292741,0.907261,0.569582,0.00010000
44,0.270462,0.325255,0.899489,0.556401,0.00010000
45,0.261850,0.293254,0.908245,0.577042,0.00010000
46,0.250077,0.320987,0.898873,0.558762,0.00010000
47,0.247495,0.286607,0.908990,0.594939,0.00010000
48,0.247696,0.297827,0.906794,0.567562,0.00010000
49,0.246834,0.295074,0.905761,0.567129,0.00010000
50,0.239364,0.314038,0.899488,0.571260,0.00010000
