epoch,train_loss,val_loss,pixel_acc,miou,lr
1,2.086265,1.937034,0.516549,0.217637,0.00010000
2,1.835234,1.749750,0.604676,0.269913,0.00010000
3,1.684189,1.589707,0.676740,0.316895,0.00010000
4,1.587195,1.540668,0.711946,0.336090,0.00010000
5,1.473262,1.461379,0.679531,0.322137,0.00010000
6,1.392240,1.357539,0.658394,0.319745,0.00010000
7,1.312723,1.246631,0.701368,0.356115,0.00010000
8,1.236511,1.222589,0.753880,0.406107,0.00010000
9,1.173298,1.178273,0.751690,0.398892,0.00010000
10,1.133749,1.078884,0.762883,0.417029,0.00010000
11,1.077522,1.049108,0.735295,0.395604,0.00010000
12,1.020860,1.030541,0.765557,0.413902,0.00010000
13,0.980459,0.952238,0.794858,0.455124,0.00010000
14,0.946333,0.973815,0.774191,0.423482,0.00010000
15,0.927393,0.934131,0.798710,0.452839,0.00010000
16,0.894194,0.867163,0.799760,0.467011,0.00010000
17,0.858156,0.849937,0.820601,0.486557,0.00010000
18,0.810104,0.891903,0.819217,0.482973,0.00010000
19,0.807590,0.875041,0.797538,0.462835,0.00010000
20,0.769445,0.829818,0.823710,0.493474,0.00010000
21,0.757613,0.940475,0.804203,0.472758,0.00010000
22,0.740768,0.808020,0.818443,0.487113,0.00010000
23,0.722856,0.841761,0.814088,0.495099,0.00010000
24,0.703321,0.820168,0.808510,0.474488,0.00010000
25,0.677427,0.720578,0.843081,0.530089,0.00010000
26,0.641075,0.769432,0.822480,0.504155,0.00010000
27,0.646934,0.776333,0.823777,0.512093,0.00010000
28,0.625867,0.767300,0.824833,0.504293,0.00010000
29,0.625036,0.759796,0.827320,0.513905,0.00010000
30,0.605473,0.736516,0.850748,0.540487,0.00010000
31,0.596488,0.671145,0.811366,0.507721,0.00010000
32,0.575994,0.687240,0.823835,0.515208,0.00010000
33,0.554565,0.726420,0.830328,0.523850,0.00010000
34,0.549076,0.801754,0.831350,0.505279,0.00010000
35,0.551209,0.701963,0.863626,0.563293,0.00010000
36,0.544950,0.620883,0.852972,0.547605,0.00010000
37,0.516299,0.647425,0.839531,0.538404,0.00010000
38,0.516070,0.739929,0.849957,0.528873,0.00010000
39,0.493495,0.648247,0.854066,0.556268,0.00010000
40,0.486560,0.695721,0.839635,0.536398,0.00010000
41,0.478796,0.633809,0.857821,0.566627,0.00010000
42,0.467702,0.586387,0.856729,0.556121,0.00010000
43,0.464418,0.653916,0.864555,0.554097,0.00010000
44,0.448356,0.564606,0.874010,0.580567,0.00010000
45,0.422845,0.553501,0.869662,0.585996,0.00010000
46,0.441368,0.654261,0.870210,0.581775,0.00010000
47,0.440598,0.564259,0.861145,0.554943,0.00010000
48,0.404214,0.548266,0.871226,0.591304,0.00010000
49,0.443315,0.619101,0.864845,0.565738,0.00010000
50,0.418240,0.574879,0.875340,0.576207,0.00010000
