epoch,train_loss,val_loss,pixel_acc,miou,lr
1,1.619548,1.276963,0.739956,0.255212,0.00010000
2,1.291310,1.084887,0.801342,0.307144,0.00010000
3,1.105572,0.917527,0.817375,0.323885,0.00010000
4,0.976229,0.853420,0.828446,0.339085,0.00010000
5,0.870164,0.760387,0.837429,0.349366,0.00010000
6,0.796157,0.751571,0.824853,0.344365,0.00010000
7,0.729056,0.671507,0.844339,0.368522,0.00010000
8,0.690273,0.594102,0.858284,0.382858,0.00010000
9,0.634695,0.609418,0.843622,0.372640,0.00010000
10,0.606618,0.563777,0.858101,0.388043,0.00010000
11,0.575656,0.509394,0.873042,0.410070,0.00010000
12,0.543786,0.538370,0.857213,0.378654,0.00010000
13,0.517549,0.476084,0.872960,0.405433,0.00010000
14,0.501240,0.566890,0.834567,0.387140,0.00010000
15,0.491324,0.484072,0.867974,0.399156,0.00010000
16,0.478133,0.479154,0.865044,0.408698,0.00010000
17,0.447231,0.438779,0.876277,0.423577,0.00010000
18,0.428642,0.421259,0.884064,0.442451,0.00010000
19,0.422254,0.444945,0.873657,0.446432,0.00010000
20,0.410470,0.390801,0.888734,0.462335,0.00010000
21,0.391909,0.403174,0.882973,0.459987,0.00010000
22,0.380689,0.400366,0.884261,0.466134,0.00010000
23,0.362748,0.389349,0.886722,0.482992,0.00010000
24,0.356106,0.384913,0.887505,0.474798,0.00010000
25,0.347517,0.427624,0.870091,0.456204,0.00010000
26,0.357962,0.372781,0.890125,0.486238,0.00010000
27,0.340238,0.360908,0.890072,0.492837,0.00010000
28,0.325877,0.355692,0.892184,0.497540,0.00010000
29,0.322930,0.355624,0.893182,0.496951,0.00010000
30,0.325670,0.373264,0.883862,0.487175,0.00010000
31,0.310745,0.336972,0.898634,0.506816,0.00010000
32,0.300273,0.340975,0.895869,0.498404,0.00010000
33,0.295284,0.335787,0.896644,0.506351,0.00010000
34,0.286461,0.320913,0.900918,0.522797,0.00010000
35,0.288112,0.327779,0.898272,0.515607,0.00010000
36,0.279863,0.308897,0.903934,0.533685,0.00010000
37,0.281193,0.364610,0.883643,0.509089,0.00010000
38,0.266852,0.307257,0.903861,0.533759,0.00010000
39,0.271399,0.326100,0.897863,0.529583,0.00010000
40,0.273510,0.305852,0.903551,0.527687,0.00010000
41,0.252425,0.294069,0.908010,0.551715,0.00010000
42,0.261670,0.302560,0.904711,0.547057,0.00010000
43,0.255170,0.288637,0.909756,0.559202,0.00010000
44,0.241959,0.294827,0.908050,0.550723,0.00010000
45,0.244588,0.315915,0.899828,0.547804,0.00010000
46,0.256579,0.285622,0.908298,0.568521,0.00010000
47,0.230807,0.309256,0.904022,0.559972,0.00010000
48,0.229958,0.282776,0.911443,0.576586,0.00010000
49,0.227404,0.308992,0.902205,0.572013,0.00010000
50,0.214977,0.265259,0.915138,0.591514,0.00010000
