epoch,train_loss,val_loss,pixel_acc,miou,lr
1,1.657352,1.417445,0.701724,0.207839,0.00010000
2,1.358304,1.186195,0.750852,0.239601,0.00010000
3,1.199550,1.085306,0.757111,0.256417,0.00010000
4,1.058730,0.914946,0.818676,0.326595,0.00010000
5,0.967047,0.808347,0.833737,0.347864,0.00010000
6,0.867829,0.839099,0.794553,0.315138,0.00010000
7,0.790102,0.698556,0.840107,0.365906,0.00010000
8,0.720791,0.629085,0.849877,0.377784,0.00010000
9,0.660965,0.609034,0.853155,0.380544,0.00010000
10,0.625852,0.607792,0.841366,0.372664,0.00010000
11,0.603811,0.544278,0.859074,0.385641,0.00010000
12,0.570387,0.499595,0.868137,0.396063,0.00010000
13,0.549673,0.507490,0.866442,0.405340,0.00010000
14,0.517007,0.512465,0.860462,0.395176,0.00010000
15,0.502863,0.484860,0.870806,0.405692,0.00010000
16,0.477303,0.480063,0.864354,0.404255,0.00010000
17,0.469845,0.495753,0.860581,0.394165,0.00010000
18,0.458799,0.459352,0.871957,0.411703,0.00010000
19,0.443493,0.440467,0.873389,0.407021,0.00010000
20,0.430632,0.418303,0.881194,0.420309,0.00010000
21,0.413181,0.409907,0.880882,0.421479,0.00010000
22,0.412726,0.426181,0.872663,0.414409,0.00010000
23,0.397225,0.414116,0.876561,0.418547,0.00010000
24,0.384488,0.401688,0.880756,0.431804,0.00010000
25,0.374793,0.399060,0.879814,0.443862,0.00010000
26,0.362324,0.381281,0.887037,0.469889,0.00010000
27,0.365966,0.379185,0.887661,0.462566,0.00010000
28,0.351191,0.383902,0.888168,0.469319,0.00010000
29,0.346814,0.391276,0.883290,0.465572,0.00010000
30,0.338058,0.364514,0.889897,0.487837,0.00010000
31,0.328263,0.355622,0.892034,0.491678,0.00010000
32,0.319083,0.358917,0.893797,0.492476,0.00010000
33,0.327745,0.333146,0.899391,0.498942,0.00010000
34,0.296264,0.338961,0.896647,0.502567,0.00010000
35,0.302814,0.329050,0.898949,0.516791,0.00010000
36,0.303855,0.334609,0.897794,0.514957,0.00010000
37,0.281673,0.367749,0.892093,0.506207,0.00010000
38,0.291057,0.370424,0.882659,0.493620,0.00010000
39,0.291102,0.311304,0.902771,0.533538,0.00010000
40,0.268407,0.309247,0.903690,0.543725,0.00010000
41,0.282191,0.313388,0.902008,0.540054,0.00010000
42,0.262238,0.311079,0.903834,0.544666,0.00010000
43,0.258668,0.299676,0.906295,0.549113,0.00010000
44,0.253934,0.304373,0.904046,0.550561,0.00010000
45,0.253554,0.291678,0.909438,0.554392,0.00010000
46,0.238925,0.287802,0.907770,0.568932,0.00010000
47,0.228055,0.268714,0.914851,0.586045,0.00010000
48,0.231960,0.286592,0.908963,0.580741,0.00010000
49,0.245518,0.349374,0.889239,0.534804,0.00010000
50,0.235258,0.284515,0.910196,0.571621,0.00010000
